DataHora,Idade,Sexo,TempoDocencia,CursoGraduacao,PosEmEstatistica,UsoR,UsoTinkerplots,UsoFathom,UsoExcel,UsoSPSS,UsoCODAP,UsoMinitab,UsoPython,UsoSigmaplot,UsoPSPP,NomeOutros1,UsoOutro1,NomeOutros2,UsoOutro2,NomeOutros3,UsoOutro3
29/11/2023 10:09:53,30,Feminino,1,Saúde Coletiva,Não,1,1,1,4,3,1,1,1,1,1,Tabwin,3,TABNET,5,"Google Planilhas - universidade não utiliza Windows, não tem Excel no laboratório de informática",5
29/11/2023 10:22:33,33,Feminino,1,Matemática,Não,,,,5,,,,,,,,,,,,
29/11/2023 10:25:21,43,Masculino,12,Matemática,Não,1,1,1,5,,,,,,,,,,,,
29/11/2023 10:40:32,34,Masculino,10,Matemática,Não,3,1,1,3,,1,1,3,,,Matlab,5,C,5,Fortran,5
29/11/2023 10:48:28,42,Masculino,10,Psicologia,Não,4,1,1,2,5,1,1,1,1,2,jamovi,5,jasp,5,iramuteq,5
29/11/2023 10:51:03,69,Masculino,18,Bacharelado em Ciências Políticas e Sociais,Não,1,1,,4,4,1,1,1,,1,,,,,,
29/11/2023 11:17:22,34,Masculino,6,Psicopedagogia,Não,3,1,1,1,5,1,1,1,1,1,JASP,5,,,,
29/11/2023 11:38:35,54,Feminino,20,Engenharia de Produção,Não,2,1,1,5,2,2,1,1,1,2,,,,,,
29/11/2023 12:14:54,31,Masculino,1,Economia,Não,5,1,1,5,1,1,1,1,1,1,,,,,,
29/11/2023 12:21:52,30,Masculino,2,Ciências Atmosféricas,Não,1,1,1,5,1,1,1,5,2,1,,,,,,
29/11/2023 13:04:21,38,Masculino,9,Economia,Sim,4,1,1,4,1,1,1,1,1,1,GRETL,4,,,,
29/11/2023 14:57:08,47,Feminino,15,Bacharelado em Matemática,Não,2,1,1,5,1,1,2,4,,4,Geogebra,3,,,,
29/11/2023 15:11:25,32,Feminino,8,Ciências Atuariais,Não,5,1,1,5,2,,2,2,1,2,Stata,3,,,,
29/11/2023 15:47:48,62,Masculino,35,Bacharelado em Matemática,Não,3,1,1,3,2,1,2,1,1,1,Matlab,4,Scilab,4,Intel fortran,4
